,0
60,"""No meetings before 11am. No meetings when emails or calls will do. Don’t schedule calls, text coordinate them on the fly when possible. Cram all meetings into two days a week. 1-on-1s are usually 30-minute walking meetings.(Meetings are the death of productivity)"" - @naval"
61,"""Read what you love until you love to read."" - @naval"
62,"""There is no skill called “business.” Avoid business magazines and business classes."" - @naval"
63,"""You can have the mind or you can have the moment."" - @naval"
64,"""People who try to look smart by pointing out obvious exceptions actually signal the opposite."" - @naval"
65,"""Networking is overrated. Become first and foremost a person of value and the network will be available whenever you need it."" - @naval"
66,"""The internet is the best school ever created. The best peers are on the Internet. The best books are on the Internet. The best teachers are on the Internet. The tools for learning are abundant. It’s the desire to learn that’s scarce."" - @naval"
67,"""The selfish reason to be ethical is that it attracts the other ethical people in the network."" - @naval"
68,"""Nothing like a health problem to turn up the contrast dial on the rest of life."" - @naval"
69,"""The question “why do you want this job?” is also a sales tactic. The candidate will be forced to articulate good reasons out of politeness - and the desire for internal consistency will make them believe these reasons."" - @naval"
70,"""Your goal in life is to find out the people who need you the most, to find out the business that needs you the most, to find the project and the art that needs you the most. There is something out there just for you."" - @naval"
71,"""True reasoning is only possible when there is no motivation."" - @naval"
72,"""The reality is life is a single-player game. You’re born alone. You’re going to die alone. All of your interpretations are alone. All your memories are alone. You’re gone in three generations and nobody cares. Before you showed up, nobody cared. It’s all single-player."" - @naval"
73,"""Become the best in the world at what you do. Keep redefining what you do until this is true."" - @naval"
74,"""Blockchains are now sucking in top-tier Silicon Valley tech talent faster than any boom since the Internet."" - @naval"
75,"""The heart decides, the head rationalizes."" - @naval"
76,"""A great goal in life would be to not have to be in a given place at a given time... Being accountable for your output rather than your input. I would love to be paid purely for my judgment."" - @naval"
77,"""Read what you love until you love to read."" - @naval"
78,"""Knowing how little you matter is very important for your mental health and your happiness"" - @naval"
79,"""If you’re more passionate about founding a business than the business itself, you can fall into a ten year trap. Better to stay emotionally unattached and select the best opportunity that arises."" - @naval"
80,"""Time is the ultimate currency and I should have been more tight fisted with it."" - @naval"
81,"""A taste of freedom can make you unemployable."" - @naval"
82,"""Morality and ethics automatically emerge when we realize the long term consequences of our actions."" - @naval"
83,"""Eventually, every game theory textbook will have a chapter on public blockchains."" - @naval"
84,"""Persistent, non-specific anxiety is the result of wanting so much, talking so much, and doing so much that you lose touch with the quiet joys of solitude."" - @naval"
85,"""Code, money, guns, and encryption are all becoming speech. The first amendment is the last word on freedom."" - @naval"
86,"""Learn to sell. Learn to build. If you can do both, you will be unstoppable."" - @naval"
87,"""If you can't decide, the answer is No."" - @naval"
88,"""Time is the ultimate currency and I should have been more tight fisted with it."" - @naval"
89,"""If you can’t delete an email without flinching or responding, you won’t scale."" - @naval"
90,"""If you create intersections, you’re going to have collisions."" - @naval"
91,"""Code, money, guns, and encryption are all becoming speech. The first amendment is the last word on freedom."" - @naval"
92,"""The question “why do you want this job?” is also a sales tactic. The candidate will be forced to articulate good reasons out of politeness - and the desire for internal consistency will make them believe these reasons."" - @naval"
93,"""A good conference is a vacation that you take with really smart friends."" - @naval"
94,"""Everybody wants to hire the best. Nobody wants to pay them the best.."" - @naval"
95,"""Don't write to make money, write to build relationships with like minded people that you haven't yet met."" - @naval"
96,"""Before you can lie to another, you must first lie to yourself."" - @naval"
97,"""Politics is the exercise of power without merit."" - @naval"
98,"""The secret to public speaking is to speak as if you were alone."" - @naval"
99,"""Twitter is a way to broadcast messages to hundreds of millions of people to find the few dozen that you actually want to talk to."" - @naval"
